"K20_1M10" "K20_1M2" "K20_1S10" "K20_1S2" "K20_2M10" "K20_2M2" "K20_2S10" "K20_2S2" "K20_3M10" "K20_3M2" "K20_3S10" "K20_3S2" "K21_1M10" "K21_1M2" "K21_1S10" "K21_1S2" "K21_2M10" "K21_2M2" "K21_2S10" "K21_2S2" "K21_3M10" "K21_3M2" "K21_3S10" "K21_3S2" "K22_1M10" "K22_1M2" "K22_1S10" "K22_1S2" "K22_2M10" "K22_2M2" "K22_2S10" "K22_2S2" "K22_3M10" "K22_3M2" "K22_3S10" "K22_3S2"
"ASV3004" 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 0 6 1 4 0 6 0 2 0 2 2 0 0 3 0 0 1 1 1 0 1
"ASV3005" 3 2 0 1 1 2 1 0 1 0 1 0 0 0 1 1 0 0 2 0 1 1 0 1 4 1 4 3 4 3 1 2 1 2 2 1
"ASV3006" 1 4 2 0 1 1 1 3 0.5 2 0 1 0 1 1 1 0 0 1 0 0 0 1 0 1 1 1 1 2 0 0 2 2 1 1 0
"ASV3007" 1 1 2 1 6 1 1 0 6 5 2 1 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 0
"ASV3008" 1 4 0 1 3 1 0 2 2 10 4 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"ASV3009" 0 0 0 0 0 0 0 0 1 0 0 0 2 0 14 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 1
"ASV3011" 2 1 0 1 0 1 0 0 2 1 0 5 1 3 0 0 1 1 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ASV3014" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 5 3 8 0 5 0 1 2 3 0 1
"ASV3016" 2 3 3 1 3 3 3 0 2 1 3 1 3 2 2 2 0 0 0 0 0 2 5 0 1 1 0 0 1 1 0 3 2 1 4 1
"ASV3019" 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 7 0 5 2 0 0 0 0 0 1 1 0 1 2 0 0 1 1 1 2 2
"ASV3020" 2 0 2 0 2 1 1 2 2 3 1 2 15 13 14 4 9.5 16 9 9 13 6 14 3 19.5 24 20 23 21 32 9 18 22 27 17 19
"ASV3021" 3 1 0 1 0 1 0 1 1 4 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ASV3024" 1 1 1 0 3 0 3 0 3 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 1 5 1 1 1 1 4 1 1
"ASV3025" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 1 3 2 4 1 0 6 4 6 7 1
"ASV3027" 1 0 5 2 3 0 2 3 0 4 6 5 1 1 2 1 3 1 10 0 2 1 7 0 2 0 2 2 1 3 1 1 1 0 4 1
"ASV3029" 0 0 3 1 0 0 4 2 0 0 1 0 1 0 2 1 0 0 1 2 1 0 1 2 2 2 1 1 5 3 5 1 2 3 2 1
