"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "Species" "lowest"
"ASV2065" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "Saccharomycetales_fam_Incertae_sedis" "Candida" "Candida_tropicalis" "s__Candida_tropicalis"
"ASV2070" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymosphaeriaceae" "unclassified" "unclassified" "f__Didymosphaeriaceae"
"ASV2071" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Trichocladium" "Trichocladium_pyriforme" "s__Trichocladium_pyriforme"
"ASV2076" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Hypocreaceae" "Trichoderma" "unclassified" "g__Trichoderma"
"ASV2080" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "unclassified" "unclassified" "f__Aspergillaceae"
"ASV2083" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Agaricus" "unclassified" "g__Agaricus"
"ASV2084" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Dictyosporiaceae" "unclassified" "Dictyosporiaceae_sp" "s__Dictyosporiaceae_sp"
"ASV2085" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Acrophialophora" "Acrophialophora_levis" "s__Acrophialophora_levis"
"ASV2086" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unclassified" "unclassified" "unclassified" "o__Pleosporales"
"ASV2091" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV2100" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Xylariaceae" "Nemania" "Nemania_plumbea" "s__Nemania_plumbea"
"ASV2114" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "unclassified" "unclassified" "unclassified" "o__Sordariales"
"ASV2115" "Fungi" "Ascomycota" "Dothideomycetes" "Dothideales" "Saccotheciaceae" "Aureobasidium" "Aureobasidium_pullulans" "s__Aureobasidium_pullulans"
"ASV2120" "Fungi" "Ascomycota" "Dothideomycetes" "Botryosphaeriales" "Botryosphaeriaceae" "Diplodia" "unclassified" "g__Diplodia"
"ASV2129" "Fungi" "Ascomycota" "Saccharomycetes" "Saccharomycetales" "unclassified" "unclassified" "unclassified" "o__Saccharomycetales"
"ASV2136" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Aspergillaceae" "Penicillium" "unclassified" "g__Penicillium"
"ASV2137" "Fungi" "Chytridiomycota" "Lobulomycetes" "Lobulomycetales" "unclassified" "unclassified" "Lobulomycetales_sp" "s__Lobulomycetales_sp"
"ASV2139" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Coprinopsis" "unclassified" "g__Coprinopsis"
"ASV1361" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "unclassified" "unclassified" "unclassified" "o__Helotiales"
"ASV1366" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Phialophora" "Phialophora_cyclaminis" "s__Phialophora_cyclaminis"
"ASV1367" "Fungi" "Chytridiomycota" "Lobulomycetes" "Lobulomycetales" "unclassified" "unclassified" "Lobulomycetales_sp" "s__Lobulomycetales_sp"
"ASV1369" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Pezizales_fam_Incertae_sedis" "unclassified" "Pezizales_sp" "s__Pezizales_sp"
"ASV1370" "Fungi" "Basidiomycota" "Agaricomycetes" "Thelephorales" "Thelephoraceae" "Tomentella" "unclassified" "g__Tomentella"
"ASV1373" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Sarocladiaceae" "Sarocladium" "Sarocladium_dejongiae" "s__Sarocladium_dejongiae"
"ASV1376" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "unclassified" "unclassified" "unclassified" "o__Helotiales"
"ASV1377" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Thyridariaceae" "Parathyridaria" "Parathyridaria_rosae" "s__Parathyridaria_rosae"
"ASV1378" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "unclassified" "unclassified" "unclassified" "o__Hypocreales"
"ASV1380" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "unclassified" "unclassified" "unclassified" "o__Sordariales"
"ASV1385" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "unclassified" "unclassified" "unclassified" "o__Hypocreales"
"ASV1390" "Fungi" "Basidiomycota" "Agaricomycetes" "Geastrales" "Geastraceae" "Geastrum" "Geastrum_striatum" "s__Geastrum_striatum"
"ASV1400" "Fungi" "Chytridiomycota" "Lobulomycetes" "Lobulomycetales" "unclassified" "unclassified" "Lobulomycetales_sp" "s__Lobulomycetales_sp"
"ASV1402" "Fungi" "Basidiomycota" "Agaricomycetes" "Auriculariales" "unclassified" "unclassified" "Auriculariales_sp" "s__Auriculariales_sp"
"ASV1405" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "unclassified" "unclassified" "unclassified" "o__Pleosporales"
"ASV1406" "Fungi" "Basidiomycota" "Malasseziomycetes" "Malasseziales" "Malasseziaceae" "Malassezia" "Malassezia_restricta" "s__Malassezia_restricta"
"ASV1407" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Thermoascaceae" "Paecilomyces" "unclassified" "g__Paecilomyces"
"ASV1410" "Fungi" "Ascomycota" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "p__Ascomycota"
"ASV1416" "Fungi" "Basidiomycota" "Agaricomycetes" "Auriculariales" "unclassified" "unclassified" "unclassified" "o__Auriculariales"
