"Kingdom" "Phyla" "Class" "Order" "Family" "Genus" "lowest"
"ASV749" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Steroidobacterales" "Steroidobacteraceae" "Steroidobacter" "g__Steroidobacter"
"ASV750" "Bacteria" "Bacillota" "Clostridia" "Oscillospirales" "Oscillospiraceae" "unclassified" "f__Oscillospiraceae"
"ASV751" "Bacteria" "unclassified" "unclassified" "unclassified" "unclassified" "unclassified" "k__Bacteria"
"ASV752" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Hyphomicrobiaceae" "Pedomicrobium" "g__Pedomicrobium"
"ASV753" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV754" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Parageobacillus" "g__Parageobacillus"
"ASV756" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV757" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV2910" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "unclassified" "f__Micromonosporaceae"
"ASV2911" "Bacteria" "Bacillota" "Bacilli" "Brevibacillales" "Brevibacillaceae" "Brevibacillus" "g__Brevibacillus"
"ASV2913" "Bacteria" "Bacillota" "D8A-2" "D8A-2_insertae_sedis_order" "D8A-2_insertae_sedis_family" "D8A-2_insertae_sedis_genus" "g__D8A-2_insertae_sedis_genus"
"ASV2914" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Rhizobiaceae" "Agrobacterium" "g__Agrobacterium"
"ASV2916" "Bacteria" "Thermodesulfobacteriota" "Desulfuromonadia" "Desulfuromonadales" "Desulfuromonadaceae" "Desulfuromonadaceae_insertae_sedis_genus" "g__Desulfuromonadaceae_insertae_sedis_genus"
"ASV2919" "Bacteria" "Chloroflexota" "TK10" "TK10_insertae_sedis_order" "TK10_insertae_sedis_family" "TK10_insertae_sedis_genus" "g__TK10_insertae_sedis_genus"
"ASV2922" "Bacteria" "Bacillota" "Clostridia" "Clostridia_vadinBB60_group" "Clostridia_vadinBB60_group_insertae_sedis_family" "Clostridia_vadinBB60_group_insertae_sedis_genus" "g__Clostridia_vadinBB60_group_insertae_sedis_genus"
"ASV2923" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Xanthobacteraceae" "unclassified" "f__Xanthobacteraceae"
"ASV2927" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Microtrichales" "Ilumatobacteraceae" "Desertimonas" "g__Desertimonas"
"ASV2928" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Bacillaceae_insertae_sedis_genus" "g__Bacillaceae_insertae_sedis_genus"
"ASV2930" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Thermobacillus" "g__Thermobacillus"
"ASV2931" "Bacteria" "Bacillota" "Desulfotomaculia" "Desulfotomaculales" "Desulfotomaculaceae" "Desulfotomaculum" "g__Desulfotomaculum"
"ASV2932" "Bacteria" "Chloroflexota" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" "Anaerolineaceae_insertae_sedis_genus" "g__Anaerolineaceae_insertae_sedis_genus"
"ASV2934" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Actinomarinales" "Actinomarinales_insertae_sedis_family" "Actinomarinales_insertae_sedis_genus" "g__Actinomarinales_insertae_sedis_genus"
"ASV2935" "Bacteria" "Methylomirabilota" "Methylomirabilia" "Rokubacteriales" "Rokubacteriales_insertae_sedis_family" "Rokubacteriales_insertae_sedis_genus" "g__Rokubacteriales_insertae_sedis_genus"
"ASV2937" "Bacteria" "Chloroflexota" "SHA-26" "SHA-26_insertae_sedis_order" "SHA-26_insertae_sedis_family" "SHA-26_insertae_sedis_genus" "g__SHA-26_insertae_sedis_genus"
"ASV2941" "Bacteria" "Bacillota" "Clostridia" "Oscillospirales" "UCG-010" "UCG-010_insertae_sedis_genus" "g__UCG-010_insertae_sedis_genus"
"ASV2944" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Beijerinckiaceae" "Bosea" "g__Bosea"
"ASV2946" "Bacteria" "Acidobacteriota" "Vicinamibacteria" "Vicinamibacterales" "Vicinamibacterales_insertae_sedis_family" "Vicinamibacterales_insertae_sedis_genus" "g__Vicinamibacterales_insertae_sedis_genus"
"ASV2951" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Hyphomicrobiaceae" "Hyphomicrobium" "g__Hyphomicrobium"
"ASV2952" "Bacteria" "Bacillota" "Syntrophomonadia" "Syntrophomonadales" "Syntrophomonadaceae" "Syntrophomonas" "g__Syntrophomonas"
"ASV2953" "Bacteria" "Bacillota" "Clostridia" "Oscillospirales" "UCG-010" "UCG-010_insertae_sedis_genus" "g__UCG-010_insertae_sedis_genus"
"ASV2954" "Bacteria" "Methylomirabilota" "Methylomirabilia" "Rokubacteriales" "WX65" "WX65_insertae_sedis_genus" "g__WX65_insertae_sedis_genus"
"ASV2956" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Acidimicrobiales" "Acidimicrobiaceae" "Acidimicrobiaceae_insertae_sedis_genus" "g__Acidimicrobiaceae_insertae_sedis_genus"
"ASV2957" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV2961" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Thermobacillus" "g__Thermobacillus"
"ASV2962" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Methyloligellaceae" "unclassified" "f__Methyloligellaceae"
"ASV2963" "Bacteria" "Chloroflexota" "Anaerolineae" "unclassified" "unclassified" "unclassified" "c__Anaerolineae"
"ASV2964" "Bacteria" "Planctomycetota" "Phycisphaerae" "Phycisphaerales" "Phycisphaeraceae" "CL500-3" "g__CL500-3"
"ASV2966" "Bacteria" "Chloroflexota" "Chloroflexia" "Thermomicrobiales" "JG30-KF-CM45" "JG30-KF-CM45_insertae_sedis_genus" "g__JG30-KF-CM45_insertae_sedis_genus"
"ASV2968" "Bacteria" "Bacillota" "Clostridia" "Caldicoprobacterales" "Caldicoprobacteraceae" "Caldicoprobacter" "g__Caldicoprobacter"
"ASV2974" "Bacteria" "Chloroflexota" "Dehalococcoidia" "S085" "S085_insertae_sedis_family" "S085_insertae_sedis_genus" "g__S085_insertae_sedis_genus"
"ASV2975" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "unclassified" "f__Sphingomonadaceae"
"ASV2978" "Bacteria" "Bacillota" "Desulfotomaculia" "Desulfotomaculales" "Pelotomaculaceae" "Pelotomaculum" "g__Pelotomaculum"
"ASV2981" "Bacteria" "Planctomycetota" "Planctomycetes" "Pirellulales" "Pirellulaceae" "Pir4_lineage" "g__Pir4_lineage"
"ASV2986" "Bacteria" "Bacteroidota" "Bacteroidia" "Sphingobacteriales" "Sphingobacteriaceae" "Sphingobacterium" "g__Sphingobacterium"
"ASV2987" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "Hyphomicrobiales" "Rhizobiaceae" "Endobacterium" "g__Endobacterium"
"ASV2989" "Bacteria" "Chloroflexota" "Anaerolineae" "Aggregatilineales" "A4b" "A4b_insertae_sedis_genus" "g__A4b_insertae_sedis_genus"
"ASV2990" "Bacteria" "Bacillota" "Moorellia" "Desulfitibacterales" "Desulfitibacteraceae" "Desulfitibacter" "g__Desulfitibacter"
"ASV2994" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillus" "g__Paenibacillus"
"ASV2995" "Bacteria" "Chloroflexota" "Chloroflexia" "Thermomicrobiales" "JG30-KF-CM45" "JG30-KF-CM45_insertae_sedis_genus" "g__JG30-KF-CM45_insertae_sedis_genus"
"ASV2998" "Bacteria" "Bacillota" "Bacilli" "Thermoactinomycetales" "Thermoactinomycetaceae" "Thermoactinomyces" "g__Thermoactinomyces"
"ASV3000" "Bacteria" "Bacillota" "Thermovenabulia" "Thermovenabulales" "Tepidanaerobacteraceae" "Tepidanaerobacter" "g__Tepidanaerobacter"
"ASV3004" "Bacteria" "Pseudomonadota" "Alphaproteobacteria" "unclassified" "unclassified" "unclassified" "c__Alphaproteobacteria"
"ASV3005" "Bacteria" "Bacillota" "Clostridia" "Caldicoprobacterales" "Caldicoprobacteraceae" "Caldicoprobacter" "g__Caldicoprobacter"
"ASV3006" "Bacteria" "Actinomycetota" "Actinobacteria" "Micromonosporales" "Micromonosporaceae" "Longispora" "g__Longispora"
"ASV3007" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillaceae_insertae_sedis_genus" "g__Paenibacillaceae_insertae_sedis_genus"
"ASV3008" "Bacteria" "Bacillota" "unclassified" "unclassified" "unclassified" "unclassified" "p__Bacillota"
"ASV3009" "Bacteria" "Actinomycetota" "Actinobacteria" "Streptosporangiales" "Streptosporangiaceae" "Sphaerisporangium" "g__Sphaerisporangium"
"ASV3011" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV3014" "Bacteria" "Bacillota" "Desulfotomaculia" "Desulfotomaculales" "Pelotomaculaceae" "Pelotomaculum" "g__Pelotomaculum"
"ASV3016" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Bacillaceae_insertae_sedis_genus" "g__Bacillaceae_insertae_sedis_genus"
"ASV3019" "Bacteria" "Planctomycetota" "Phycisphaerae" "Phycisphaerales" "Phycisphaeraceae" "Phycisphaeraceae_insertae_sedis_genus" "g__Phycisphaeraceae_insertae_sedis_genus"
"ASV3020" "Bacteria" "Chloroflexota" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" "Anaerolinea" "g__Anaerolinea"
"ASV3021" "Bacteria" "Bacillota" "Limnochordia" "Limnochordales" "Limnochordaceae" "Limnochordaceae_insertae_sedis_genus" "g__Limnochordaceae_insertae_sedis_genus"
"ASV3024" "Bacteria" "Bacillota" "Clostridia" "Proteinivoracales" "Proteinivoracaceae" "Proteinivoracaceae_insertae_sedis_genus" "g__Proteinivoracaceae_insertae_sedis_genus"
"ASV3025" "Bacteria" "Chloroflexota" "Anaerolineae" "Anaerolineales" "Anaerolineaceae" "Anaerolinea" "g__Anaerolinea"
"ASV3027" "Bacteria" "Actinomycetota" "Acidimicrobiia" "Microtrichales" "Microtrichales_insertae_sedis_family" "Microtrichales_insertae_sedis_genus" "g__Microtrichales_insertae_sedis_genus"
"ASV3029" "Bacteria" "Pseudomonadota" "Gammaproteobacteria" "Burkholderiales" "Comamonadaceae" "Hydrogenophaga" "g__Hydrogenophaga"
"ASV3033" "Bacteria" "Chloroflexota" "Chloroflexia" "Chloroflexales" "Chloroflexaceae" "unclassified" "f__Chloroflexaceae"
"ASV3036" "Bacteria" "Gemmatimonadota" "Gemmatimonadia" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonadaceae_insertae_sedis_genus" "g__Gemmatimonadaceae_insertae_sedis_genus"
"ASV3038" "Bacteria" "Bacillota" "Thermoanaerobacteria" "Thermoanaerobacterales" "SRB2" "SRB2_insertae_sedis_genus" "g__SRB2_insertae_sedis_genus"
"ASV3039" "Bacteria" "Bacillota" "Bacilli" "Bacillales" "Bacillaceae" "Schinkia" "g__Schinkia"
"ASV3043" "Bacteria" "Chloroflexota" "Chloroflexia" "Thermomicrobiales" "Thermomicrobiaceae" "Sphaerobacter" "g__Sphaerobacter"
"ASV3044" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Thermobacillus" "g__Thermobacillus"
"ASV3048" "Bacteria" "Bacteroidota" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium" "g__Flavobacterium"
"ASV3049" "Bacteria" "Actinomycetota" "Actinobacteria" "Micrococcales" "Micrococcaceae" "Pseudarthrobacter" "g__Pseudarthrobacter"
"ASV3050" "Bacteria" "Acidobacteriota" "Blastocatellia" "11-24" "11-24_insertae_sedis_family" "11-24_insertae_sedis_genus" "g__11-24_insertae_sedis_genus"
"ASV3051" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillus" "g__Paenibacillus"
"ASV3056" "Bacteria" "Bacillota" "Bacilli" "Paenibacillales" "Paenibacillaceae" "Paenibacillus" "g__Paenibacillus"
